PMID,Title,Abstract,Journal,PubDate,Source,Authors,School/Company,DOI,PMCID,Impact Factor
37352067,Pre-aspirin use has no benefit on the neurological disability and mortality after cardiovascular events: A nation-wide population-based cohort study.,"To evaluate the effects of aspirin in the primary prevention, we evaluated disability grades and mortality after ischemic/hemorrhagic stroke and myocardial infarction (MI). A retrospective nation-wide propensity score-matched cohort study was performed using the Korean National Health Information Database. From 3,060,639 subjects who were older than 55 and performed national health examinations in 2004 and 2005, we selected the aspirin group (N = 8770) was composed of patients who had received aspirin prior to cardiovascular events. Cox proportional hazards model was used to compare the acquisition times for neurologic disability grades and survival times between the aspirin and control groups. Only in hemorrhagic stroke, the severe neurologic disability risk was higher in the aspirin group (hazard ratio [HR], 1.21; 95% confidence interval [CI], 1.02-1.42). The aspirin group was associated with higher 90-day (HR, 1.33; 95% CI, 1.23-1.44) and long-term mortality risk (HR, 1.06; 95% CI, 1.03-1.10) after pooling 3 events. The old age was a strong risk factor for 90-day mortality in hemorrhagic stroke (50s: reference; 60s: HR 2.21, 95% CI 1.50-3.25; 70s: HR 3.63, 95% CI 2.48-5.30; 80s: HR 6.69, 95% CI 4.54-9.65; >90s: HR 11.28, 95% CI 6.46-19.70). Pre-aspirin use in cardiovascular events has detrimental effects on severe neurological disability in hemorrhagic stroke and short-/long-term mortality in 3 cardiovascular events. The use of aspirin for the primary prevention especially in the elderly should be very cautious because the old age is a strong risk factor for 90-day mortality after hemorrhagic stroke.",Medicine,2023,Medicine (Baltimore),Kim Jong Hun; Park Dougho; Lim Hyun Sun; Kang Min Jin; Lee Jun Hong; Yoon Seo Yeon; Kim Hyoung Seop,"Department of Neurology, National Health Insurance Service Ilsan Hospital, Goyang, South Korea.; Department of Rehabilitation Medicine, Pohang Stroke and Spine Hospital, Pohang, South Korea.; Research and Analysis Team, National Health Insurance Service Ilsan Hospital, Goyang, South Korea.; Research and Analysis Team, National Health Insurance Service Ilsan Hospital, Goyang, South Korea.; Department of Neurology, National Health Insurance Service Ilsan Hospital, Goyang, South Korea.; Department of Physical Medicine & Rehabilitation, Korea University Guro Hospital, Seoul, Republic of Korea.; Department of Physical Medicine and Rehabilitation, National Health Insurance Service Ilsan Hospital, Goyang, South Korea.",10.1097/MD.0000000000034109,PMC10289750,
36746373,"Long-term risk, clinical management, and healthcare resource utilization of stable patients with coronary artery disease and post-myocardial infarction in Greece - TIGREECE study.","In light of the scarcity of evidence, TIGREECE evaluated the clinical management and long-term outcomes of patients at high risk for an atherothrombotic event who have suffered a myocardial infarction (MI), managed by cardiologists/internists in routine hospital and private office settings in Greece.",Hellenic journal of cardiology : HJC = Hellenike kardiologike epitheorese,2023,Hellenic J Cardiol,Anastasiadis Filippos; Antoniadis Dimitrios; Chountis Dimitrios; Mantas Ioannis; Lekakis Ioannis; Elisaf Moses; Karvounis Charalampos; Manolis Athanasios; Hahalis Georgios; Kogias Ioannis; Tourtoglou Theodora; Gourlis Dimitrios; Tsounis Dimitrios,"Cardiologist, Pireaus, Attica, Greece.; Cardiologist, Chrysoupoli, East Macedonia and Thrace, Greece.; Internist, Athens, Attica, Greece.; Cardiologist, General Hospital of Chalkida, Central Greece, Greece.; Professor of Cardiology, Attikon University General Hospital, Attica, Greece.; Professor of Internal Medicine, University General Hospital of Ioannina, Epirus, Greece.; Professor of Cardiology, AHEPA University General Hospital of Thessaloniki, Central Macedonia, Greece.; Cardiologist, Asklepieion General Hospital of Voula, Attica, Greece.; Professor of Cardiology, University General Hospital of Patras, Western Greece, Greece.; Cardiologist, General Hospital of Karditsa, Thessaly, Greece.; Head of Clinical Operations, Astrazeneca, Greece.; Internist, Medical Lead, Astrazeneca, Greece.; Cardiologist, Nea Makri, Attica, Greece. Electronic address: tsounisd@gmail.com.",10.1016/j.hjc.2023.01.007,,
34864917,Statins for primary prevention among elderly men and women.,We undertook a propensity match-weighted cohort study to investigate whether statin treatment recommendations for statins translate into improved cardiovascular (CV) outcomes in the current routine clinical care of the elderly.,Cardiovascular research,2022,Cardiovasc Res,Bergami Maria; Cenko Edina; Yoon Jinsung; Mendieta Guiomar; Kedev Sasko; Zdravkovic Marija; Vasiljevic Zorana; Miličić Davor; Manfrini Olivia; van der Schaar Mihaela; Gale Chris P; Badimon Lina; Bugiardini Raffaele,"Department of Experimental, Diagnostic and Specialty Medicine, University of Bologna, Policlinico Sant'Orsola Malpighi, Padiglione 11, Via Massarenti 9, 40138 Bologna, Italy.; Department of Experimental, Diagnostic and Specialty Medicine, University of Bologna, Policlinico Sant'Orsola Malpighi, Padiglione 11, Via Massarenti 9, 40138 Bologna, Italy.; Google Cloud AI, Sunnyvale, CA, USA.; Centro Nacional de Investigaciones Cardiovasculares Carlos III (CNIC), C. de Melchor Fernández Almagro, 3, 28029, Madrid, Spain.; University Clinic of Cardiology, Medical Faculty, University 'Ss. Cyril and Methodius', Skopje 1000, Macedonia.; Department of Cardiology, University Clinical Hospital Center Bezanijska Kosa are two separate words, Belgrade 11080, Serbia.; School of Medicine, University of Belgrade, Dr Subotica 8, 11000, Belgrade, Serbia.; Department for Cardiovascular Diseases, University Hospital Center Zagreb, University of Zagreb, Kispaticeva 12, HR-10000, Zagreb, Croatia.; Department of Experimental, Diagnostic and Specialty Medicine, University of Bologna, Policlinico Sant'Orsola Malpighi, Padiglione 11, Via Massarenti 9, 40138 Bologna, Italy.; Department of Electrical and Computer Engineering, University of California 56-125B Engineering IV Building 420 Westwood Plaza, Los Angeles, CA 90095-1594USA.; Leeds Institute of Cardiovascular and Metabolic Medicine, University of Leeds, Woodhouse, Leeds LS2 9JT, UK.; Cardiovascular Program (ICCC), IR-IIB Sant Pau, Hospital de la Santa Creu i Sant Pau, CiberCV-Institute Carlos III, C/ Sant Antoni Maria Claret, 167, 08025, Barcelona, Spain.; Department of Experimental, Diagnostic and Specialty Medicine, University of Bologna, Policlinico Sant'Orsola Malpighi, Padiglione 11, Via Massarenti 9, 40138 Bologna, Italy.",10.1093/cvr/cvab348,PMC9648819,
34526727,Long term dual antiplatelet therapy after myocardial infarction: retrospective analysis in an outpatient population.,"Long term treatment with ticagrelor 60 mg and low-dose aspirin are indicated after acute coronary syndrome (ACS). We retrospectively reviewed aggregate data of 187 patients (155 M and 38 F) (mean age 63.8±9 years) in follow up after ACS with at least one high risk condition (Multivessel disease, diabetes, GFR<60 mL/min, history of prior myocardial infarction, age >65 years) treated with ticagrelor 60 mg twice daily (after 90 mg twice daily for 12 months). The results were compared with findings (characteristics of the patients at baseline, outcomes, bleeding) of PEGASUS-TIMI 54 trial and Eu Label. The highrisk groups were represented as follows: multivessel disease 105 pts (82%), diabetes 63 pts (33%), GFR< 60 mL/min 27 pts (14%), history of prior MI 33 pts (17%), >65 year aged 85 pts (45%). Treatment was withdrawn in 7 patients: 3 cases showed atrial fibrillation and were placed on oral anticoagulant drugs, one developed intracranial bleeding, in three patients a temporary withdrawal was due to surgery (1 colon polyposis and 2 cases of bladder papilloma). Chest pain without myocardial infarction occurred in 16 patients (revascularization was required in 9 patients). Dyspnea was present in 15 patients, but was not a cause for discontinuation of therapy. Long term treatment with ticagrelor 60 mg twice daily plus aspirin 100 mg/day showed a favourable benefit/risk profile after ACS.  In this study all patients had been given ticagrelor 90 mg twice daily for 12 months and the 60 mg twice daily dosage was started immediately thereafter, unlike PEGASUS-TIMI 54 trial in which it was prescribed within a period ranging from 1 day to 1 year after discontinuation of the 90 mg dose. This makes our results more consistent with current clinical practice. However, a careful outpatient follow-up and constant counseling are mandatory to check out compliance to therapy and adverse side effects.",Monaldi archives for chest disease = Archivio Monaldi per le malattie del torace,2021,Monaldi Arch Chest Dis,Ratti Gennaro; Maglione Antonio; Biglietto Emilia; Monda Cinzia; Elettrico Ciro; Ratti Federica; Fulgione Cosimo; Mallardo Mario; Tammaro Paolo,"Cardiology/ICU Department, S. Giovanni Bosco Hospital, Naples. genratti@virgilio.it.; Cardiology/ICU Department, S. Giovanni Bosco Hospital, Naples. maglione.ant@virgilio.it.; Cardiology/ICU Department, S. Giovanni Bosco Hospital, Naples. emilia.biglietto@virgilio.it.; Cardiology/ICU Department, S. Giovanni Bosco Hospital, Naples. docmonda@gmail.it.; Cardiology/ICU Department, S. Giovanni Bosco Hospital, Naples. ciroelettrico@alice.it.; Cardiac Rehabilitation, S. Gennaro Hospital, Naples. fede.ratti.99@icloud.com.; Cardiac Rehabilitation, S. Gennaro Hospital, Naples. cosimofulgione57@libero.it.; Cardiac Rehabilitation, S. Gennaro Hospital, Naples. mario-mallardo@virgilio.it.; Cardiology/ICU Department, S. Giovanni Bosco Hospital, Naples. paolo.tammaro@libero.it.",10.4081/monaldi.2021.1881,,
32997098,Rivaroxaban and Aspirin in Patients With Symptomatic Lower Extremity Peripheral Artery Disease: A Subanalysis of the COMPASS Randomized Clinical Trial.,Patients with symptomatic lower extremity peripheral artery disease (LE-PAD) experience an increased risk of major vascular events. There is limited information on what clinical features of symptomatic LE-PAD prognosticate major vascular events and whether patients at high risk have a greater absolute benefit from low-dose rivaroxaban and aspirin.,JAMA cardiology,2021,JAMA Cardiol,Kaplovitch Eric; Eikelboom John W; Dyal Leanne; Aboyans Victor; Abola Maria Teresa; Verhamme Peter; Avezum Alvaro; Fox Keith A A; Berkowitz Scott D; Bangdiwala Shrikant I; Yusuf Salim; Anand Sonia S,"Population Health Research Institute, McMaster University, Hamilton Health Sciences, Hamilton, Ontario, Canada.; Population Health Research Institute, McMaster University, Hamilton Health Sciences, Hamilton, Ontario, Canada.; Population Health Research Institute, McMaster University, Hamilton Health Sciences, Hamilton, Ontario, Canada.; Department of Cardiology, Dupuytren University Hospital, Limoges, France.; College of Medicine, University of the Philippines/Philippine Heart Center, Manila, Philippines.; Department of Cardiovascular Sciences, University of Leuven, Leuven, Belgium.; International Research Center, Hospital Alemão Oswaldo Cruz, São Paulo, Brazil.; Department of Cardiology, University of Edinburgh, Edinburgh, United Kingdom.; Clinical Development, Thrombosis & Vascular Medicine, Bayer US LLC, Whippany, New Jersey.; Population Health Research Institute, McMaster University, Hamilton Health Sciences, Hamilton, Ontario, Canada.; Population Health Research Institute, McMaster University, Hamilton Health Sciences, Hamilton, Ontario, Canada.; Population Health Research Institute, McMaster University, Hamilton Health Sciences, Hamilton, Ontario, Canada.",10.1001/jamacardio.2020.4390,PMC7527938,
32619815,Acute myocardial infarction under-diagnosis and mortality in a Tanzanian emergency department: A prospective observational study.,Growing evidence suggests that under-diagnosis of acute myocardial infarction (AMI) may be common in sub-Saharan Africa. Prospective studies of routine AMI screening among patients presenting to emergency departments in sub-Saharan Africa are lacking. Our objective was to determine the prevalence of AMI among patients in a Tanzanian emergency department.,American heart journal,2020,Am Heart J,Hertz Julian T; Sakita Francis M; Kweka Godfrey L; Limkakeng Alexander T; Galson Sophie W; Ye Jinny J; Tarimo Tumsifu G; Temu Gloria; Thielman Nathan M; Bettger Janet P; Bartlett John A; Mmbaga Blandina T; Bloomfield Gerald S,"Division of Emergency Medicine, Duke University School of Medicine, 2301 Erwin Rd, Durham, NC; Duke Global Health Institute, 310 Trent Drive, Durham, NC; Reprint requests: Julian T. Hertz, MD, MScGH, Division of Emergency Medicine, Duke University School of Medicine, 2301 Erwin Rd, Durham, NC 27710.. Electronic address: julian.hertz@duke.edu.; Kilimanjaro Christian Medical Centre, PO Box 3010, Moshi, Tanzania; Kilimanjaro Christian Medical University College, PO Box 3010, Moshi, Tanzania.; Kilimanjaro Christian Medical Centre, PO Box 3010, Moshi, Tanzania; Kilimanjaro Christian Research Institute, PO Box 2236, Moshi, Tanzania.; Division of Emergency Medicine, Duke University School of Medicine, 2301 Erwin Rd, Durham, NC.; Division of Emergency Medicine, Duke University School of Medicine, 2301 Erwin Rd, Durham, NC; Duke Global Health Institute, 310 Trent Drive, Durham, NC.; Division of Emergency Medicine, Duke University School of Medicine, 2301 Erwin Rd, Durham, NC.; Kilimanjaro Christian Medical Centre, PO Box 3010, Moshi, Tanzania; Kilimanjaro Christian Research Institute, PO Box 2236, Moshi, Tanzania.; Kilimanjaro Christian Medical Centre, PO Box 3010, Moshi, Tanzania; Kilimanjaro Christian Medical University College, PO Box 3010, Moshi, Tanzania.; Duke Global Health Institute, 310 Trent Drive, Durham, NC; Department of Internal Medicine, Duke University School of Medicine, 2301 Erwin Rd, Durham, NC.; Duke Global Health Institute, 310 Trent Drive, Durham, NC; Department of Orthopaedic Surgery, Duke University School of Medicine, 200 Trent Dr, Durham, NC; Duke Clinical Research Institute, 300 W Morgan St, Durham, NC.; Duke Global Health Institute, 310 Trent Drive, Durham, NC; Kilimanjaro Christian Medical Centre, PO Box 3010, Moshi, Tanzania; Department of Internal Medicine, Duke University School of Medicine, 2301 Erwin Rd, Durham, NC.; Kilimanjaro Christian Medical Centre, PO Box 3010, Moshi, Tanzania; Kilimanjaro Christian Research Institute, PO Box 2236, Moshi, Tanzania; Kilimanjaro Christian Medical University College, PO Box 3010, Moshi, Tanzania.; Duke Global Health Institute, 310 Trent Drive, Durham, NC; Division of Cardiology, Duke University School of Medicine, 2301 Erwin Rd, Durham, NC; Duke Clinical Research Institute, 300 W Morgan St, Durham, NC.",10.1016/j.ahj.2020.05.017,PMC7442678,
32178526,Rivaroxaban Plus Aspirin Versus Aspirin Alone in Patients With Prior Percutaneous Coronary Intervention (COMPASS-PCI).,"The COMPASS trial (Cardiovascular Outcomes for People using Anticoagulation Strategies) demonstrated that dual pathway inhibition (DPI) with rivaroxaban 2.5 mg twice daily plus aspirin 100 mg once daily versus aspirin 100 mg once daily reduced the primary major adverse cardiovascular event (MACE) outcome of cardiovascular death, myocardial infarction, or stroke, as well as, mortality, in patients with chronic coronary syndromes or peripheral arterial disease. Whether this remains true in patients with a history of percutaneous coronary intervention (PCI) is unknown.",Circulation,2020,Circulation,Bainey Kevin R; Welsh Robert C; Connolly Stuart J; Marsden Tamara; Bosch Jackie; Fox Keith A A; Steg P Gabriel; Vinereanu Dragos; Connolly Derek L; Berkowitz Scott D; Foody JoAnne M; Probstfield Jeffrey L; Branch Kelley R; Lewis Basil S; Diaz Rafael; Muehlhofer Eva; Widimsky Petr; Yusuf Salim; Eikelboom John W; Bhatt Deepak L,"Mazankowski Alberta Heart Institute, University of Alberta, Edmonton, Canada (K.R.B., R.C.W.).; Mazankowski Alberta Heart Institute, University of Alberta, Edmonton, Canada (K.R.B., R.C.W.).; Population Heath Research Institute, McMaster University and Hamilton Health Sciences, ON, Canada (S.J.C., T.M., J.B., S.Y., J.W.E.).; Population Heath Research Institute, McMaster University and Hamilton Health Sciences, ON, Canada (S.J.C., T.M., J.B., S.Y., J.W.E.).; Population Heath Research Institute, McMaster University and Hamilton Health Sciences, ON, Canada (S.J.C., T.M., J.B., S.Y., J.W.E.).; Department of Medicine, University of Edinburgh, UK (K.A.A.F.).; Assistance Publique-Hôpitaux de Paris, France (P.G.S.).; University of Medicine and Pharmacy Carol Davila, Bucharest, Romania (D.V.).; Birmingham City Hospital, UK (D.L.C.).; Bayer AG, Parsippany, NJ (S.D.B., J.M.F.).; Bayer AG, Parsippany, NJ (S.D.B., J.M.F.).; University of Washington, Seattle (J.L.P., K.R.B.).; University of Washington, Seattle (J.L.P., K.R.B.).; Lady Davis Carmel Medical Center, Haifa, Israel (B.S.L.).; Estudios Clínicos Latino América and Instituto Cardiovascular de Rosario, Argentina (R.D.).; Bayer AG, Wuppertal, Germany (E.M.).; Charles University, Prague, Czech Republic (P.W.).; Population Heath Research Institute, McMaster University and Hamilton Health Sciences, ON, Canada (S.J.C., T.M., J.B., S.Y., J.W.E.).; Population Heath Research Institute, McMaster University and Hamilton Health Sciences, ON, Canada (S.J.C., T.M., J.B., S.Y., J.W.E.).; Brigham and Women's Hospital Heart and Vascular Center and Harvard Medical School, Boston, MA (D.L.B.).",10.1161/CIRCULATIONAHA.119.044598,,
27022822,Development and Validation of a Prediction Rule for Benefit and Harm of Dual Antiplatelet Therapy Beyond 1 Year After Percutaneous Coronary Intervention.,Dual antiplatelet therapy after percutaneous coronary intervention (PCI) reduces ischemia but increases bleeding.,JAMA,2016,JAMA,Yeh Robert W; Secemsky Eric A; Kereiakes Dean J; Normand Sharon-Lise T; Gershlick Anthony H; Cohen David J; Spertus John A; Steg Philippe Gabriel; Cutlip Donald E; Rinaldi Michael J; Camenzind Edoardo; Wijns William; Apruzzese Patricia K; Song Yang; Massaro Joseph M; Mauri Laura,"Smith Center for Outcomes Research in Cardiology, Beth Israel Deaconess Medical Center, Boston, Massachusetts2Harvard Medical School, Boston, Massachusetts3Harvard Clinical Research Institute, Boston, Massachusetts.; Harvard Medical School, Boston, Massachusetts3Harvard Clinical Research Institute, Boston, Massachusetts4Cardiology Division, Massachusetts General Hospital, Boston.; Christ Hospital Heart and Vascular Center, Cincinnati, Ohio6Lindner Center for Research and Education, Cincinnati, Ohio.; Harvard Medical School, Boston, Massachusetts7Harvard T. H. Chan School of Public Health, Boston, Massachusetts.; Department of Cardiovascular Sciences, University of Leicester, Leicester, United Kingdom9National Institute for Health Research Leicester Cardiovascular Biomedical Research Unit, University Hospitals of Leicester NHS Trust, Glenfield Hospital, Leicester.; Saint Luke's Mid America Heart Institute, Kansas City, Missouri11University of Missouri-Kansas City School of Medicine, Kansas City, Missouri.; Saint Luke's Mid America Heart Institute, Kansas City, Missouri11University of Missouri-Kansas City School of Medicine, Kansas City, Missouri12Washington University in St Louis, School of Medicine, St Louis, Missouri.; Université Paris-Diderot, INSERM U-1148, Hôpital Bichat, Paris, France14Département Hospitalo-Universitaire Fibrosis, Inflammation, and Remodeling, Assistance Publique, Hôpitaux de Paris, Paris, France15National Heart and Lung Institute, Institute of Card.; Harvard Medical School, Boston, Massachusetts3Harvard Clinical Research Institute, Boston, Massachusetts16Beth Israel Deaconess Medical Center, Boston, Massachusetts.; Sanger Heart and Vascular Institute, Carolinas HealthCare System, Charlotte, North Carolina.; Institut Loraine du Coeur et des Vaisseaux, University Hospital of Nancy-Brabois, Vandoeuvre-les-Nancy, France.; Cardiovascular Center, Onze-Lieve-Vrouwziekenhuis Hospital, Aalst, Belgium.; Harvard Clinical Research Institute, Boston, Massachusetts.; Harvard Clinical Research Institute, Boston, Massachusetts.; Harvard Clinical Research Institute, Boston, Massachusetts20Boston University School of Public Health, Boston, Massachusetts.; Harvard Medical School, Boston, Massachusetts3Harvard Clinical Research Institute, Boston, Massachusetts21Brigham and Women's Hospital, Boston, Massachusetts.",10.1001/jama.2016.3775,PMC5408574,
26719806,Risk of gastrointestinal bleeding and cardiovascular events due to NSAIDs in the diabetic elderly population.,We assessed gastrointestinal bleeding (GIB) and cardiovascular (CV) risks such as myocardial infarction or stroke associated with non-steroidal anti-inflammatory drug (NSAID) use among elderly patients with diabetes.,BMJ open diabetes research & care,2015,BMJ Open Diabetes Res Care,Kim Jungmee; Lee Joongyub; Shin Cheol Min; Lee Dong Ho; Park Byung-Joo,"Department of Preventive Medicine , Seoul National University College of Medicine , Seoul , Republic of Korea.; Medical Research Collaborating Center, Seoul National University Hospital and Seoul National University College of Medicine , Seoul , Republic of Korea.; Department of Internal Medicine , Seoul National University Bundang Hospital , Seongnam , Republic of Korea.; Department of Internal Medicine , Seoul National University Bundang Hospital , Seongnam , Republic of Korea.; Department of Preventive Medicine , Seoul National University College of Medicine , Seoul , Republic of Korea.",10.1136/bmjdrc-2015-000133,PMC4691662,
26529110,Acute Myocardial Infarction Risk in Patients with Coronary Artery Disease Doubled after Upper Gastrointestinal Tract Bleeding: A Nationwide Nested Case-Control Study.,"Prior studies of upper gastrointestinal bleeding (UGIB) and acute myocardial infarction (AMI) are small, and long-term effects of UGIB on AMI have not been delineated. We investigated whether UGIB in patients diagnosed with coronary artery disease (CAD) increased their risk of subsequent AMI. This was a population-based, nested case-control study using Taiwan's National Health Insurance Research Database. After propensity-score matching for age, gender, comorbidities, CAD date, and follow-up duration, we identified 1,677 new-onset CAD patients with AMI (AMI[+]) between 2001 and 2006 as the case group and 10,062 new-onset CAD patients without (AMI[-]) as the control group. Conditional logistic regression was used to examine the association between UGIB and AMI. Compared with UGIB[-] patients, UGIB[+] patients had twice the risk for subsequent AMI (adjusted odds ratio [AOR] = 2.08; 95% confidence interval [CI], 1.72-2.50). In the subgroup analysis for gender and age, UGIB[+] women (AOR = 2.70; 95% CI, 2.03-3.57) and patients < 65 years old (AOR = 2.23; 95% CI, 1.56-3.18) had higher odds of an AMI. UGIB[+] AMI[+] patients used nonsignificantly less aspirin than did UGIB[-] AMI[+] patients (27.69% vs. 35.61%, respectively). UGIB increased the risk of subsequent AMI in CAD patients, especially in women and patients < 65. This suggests that physicians need to use earlier and more aggressive intervention to detect UGIB and prevent AMI in CAD patients.",PloS one,2015,PLoS One,Wu Chia-Jung; Lin Hung-Jung; Weng Shih-Feng; Hsu Chien-Chin; Wang Jhi-Joung; Su Shih-Bin; Huang Chien-Cheng; Guo How-Ran,"Department of Emergency Medicine, Chi-Mei Medical Center, Tainan, Taiwan.; Department of Emergency Medicine, Chi-Mei Medical Center, Tainan, Taiwan; Department of Emergency Medicine, Taipei Medical University, Taipei, Taiwan; Department of Biotechnology, Southern Taiwan University of Science and Technology, Tainan, Taiwan.; Department of Medical Research, Chi-Mei Medical Center, Tainan, Taiwan; Department of Healthcare Administration and Medical Informatics, Kaohsiung Medical University, Kaohsiung, Taiwan.; Department of Emergency Medicine, Chi-Mei Medical Center, Tainan, Taiwan; Department of Biotechnology, Southern Taiwan University of Science and Technology, Tainan, Taiwan.; Department of Medical Research, Chi-Mei Medical Center, Tainan, Taiwan.; Department of Occupational Medicine, Chi-Mei Medical Center, Tainan, Taiwan; Department of Leisure, Recreation and Tourism Management, Southern Taiwan University of Science and Technology, Tainan, Taiwan; Department of Medical Research, Chi Mei Medical Center, Liouying, Tainan, Taiwan.; Department of Emergency Medicine, Chi-Mei Medical Center, Tainan, Taiwan; Department of Occupational Medicine, Chi-Mei Medical Center, Tainan, Taiwan; Department of Environmental and Occupational Health, College of Medicine, National Cheng Kung University, Tainan, Taiwan; Department of Child Care and Education, Southern Taiwan University of Science and Technology, Tainan, Taiwan; Department of Geriatrics and Geronotology, Chi-Mei Medical Center, Tainan, Taiwan.; Department of Environmental and Occupational Health, College of Medicine, National Cheng Kung University, Tainan, Taiwan; Department of Occupational and Environmental Medicine, National Cheng Kung University Hospital, Tainan, Taiwan.",10.1371/journal.pone.0142000,PMC4631331,
