PMCID,PMID,Title,Abstract,Journal,PubDate,Source,Authors,School/Company,DOI,Impact Factor
PMC10724809,38039072,Sex and Age Differences in the Association Between Social Determinants of Health and Cardiovascular Health According to Household Income Among Mongolian Adults: Cross-Sectional Study.,"Although social determinants of health (SDH) are an underlying cause of poor cardiovascular health (CVH), there is insufficient evidence for the association between SDH and CVH, which varies by sex and age among Mongolian adults.",JMIR public health and surveillance,2023,JMIR Public Health Surveill,Shim Sun Young; Lee Hyeonkyeong,"College of Nursing, Yonsei University, Seoul, Republic of Korea.; Mo-Im Kim Nursing Research Institute, College of Nursing, Yonsei University, Seoul, Republic of Korea.",10.2196/44569,
PMC10870333,38362951,Clinical characteristics and statin eligibility of patients under 50 with ST-elevation myocardial infarction.,"This study seeks to understand the clinical characteristics, risk factors, and statin eligibility of younger adults who present with STEMI.",Clinical cardiology,2024,Clin Cardiol,Haq Ayman; Walser-Kuntz Evan; Gamam Abdulrahman; Albers Alexis; Bae Aaron; Benson Gretchen; Miedema Michael D,"Division of Cardiovascular Medicine, Abbott Northwestern Hospital, Minneapolis, Minnesota, USA.; Nolan Family Center for Cardiovascular Health, Minneapolis Heart Institute Foundation, Minneapolis, Minnesota, USA.; Nolan Family Center for Cardiovascular Health, Minneapolis Heart Institute Foundation, Minneapolis, Minnesota, USA.; Nolan Family Center for Cardiovascular Health, Minneapolis Heart Institute Foundation, Minneapolis, Minnesota, USA.; Nolan Family Center for Cardiovascular Health, Minneapolis Heart Institute Foundation, Minneapolis, Minnesota, USA.; Nolan Family Center for Cardiovascular Health, Minneapolis Heart Institute Foundation, Minneapolis, Minnesota, USA.; Division of Cardiovascular Medicine, Abbott Northwestern Hospital, Minneapolis, Minnesota, USA.",10.1002/clc.24231,
PMC10899234,38413716,Antiplatelet therapy prior to COVID-19 infection impacts on patients mortality: a propensity score-matched cohort study.,"One of the major pathomechanisms of COVID-19 is the interplay of hyperinflammation and disruptions in coagulation processes, involving thrombocytes. Antiplatelet therapy (AP) by anti-inflammatory effect and inhibition of platelet aggregation may affect these pathways. The aim of this study was to investigate if AP has an impact on the in-hospital course and medium-term outcomes in hospitalized COVID-19 patients. The study population (2170 COVID-19 patients: mean ± SD age 60 ± 19 years old, 50% male) was divided into a group of 274 patients receiving any AP prior to COVID-19 infection (AP group), and after propensity score matching, a group of 274 patients without previous AP (non-AP group). Patients from the AP group were less frequently hospitalized in the intensive care unit: 9% vs. 15%, 0.55 (0.33-0.94), developed less often shock: 9% vs. 15%, 0.56 (0.33-0.96), and required less aggressive forms of therapy. The AP group had more coronary revascularizations: 5% vs. 1%, 3.48 (2.19-5.55) and strokes/TIA: 5% vs. 1%, 3.63 (1.18-11.2). The bleeding rate was comparable: 7% vs. 7%, 1.06 (0.54-2.06). The patients from the AP group had lower 3-month mortality: 31% vs. 39%, 0.69 (0.51-0.93) and didn't differ significantly in 6-month mortality: 34% vs. 41%, 0.79 (0.60-1.04). When analyzing the subgroup with a history of myocardial infarction and/or coronary revascularization and/or previous stroke/transient ischemic attack and/or peripheral artery disease, AP had a beneficial effect on both 3-month: 37% vs. 56%, 0.58 (0.40-0.86) and 6-month mortality: 42% vs. 57%, 0.63 (0.44-0.92). Moreover, the favourable effect was highly noticeable in this subgroup where acetylsalicylic acid was continued during hospitalization with reduction of in-hospital: 19% vs. 43%, 0.31 (0.15-0.67), 3-month: 30% vs. 54%, 044 (0.26-0.75) and 6-month mortality: 33% vs. 54%, 0.49 (0.29-0.82) when confronted with the subgroup who had acetylsalicylic acid suspension during hospitalization. The AP may have a beneficial impact on hospital course and mortality in COVID-19 and shouldn't be discontinued, especially in high-risk patients.",Scientific reports,2024,Sci Rep,Sokolski Mateusz; Reszka Konrad; Adamik Barbara; Kilis-Pstrusinska Katarzyna; Lis Weronika; Pomorski Michał; Sokolowski Janusz; Doroszko Adrian; Madziarska Katarzyna; Jankowska Ewa Anita; Protasiewicz Marcin,"Institute of Heart Disease, Wroclaw Medical University, Borowska 213, 50-556, Wroclaw, Poland. mateusz.sokolski@umw.edu.pl.; Institute of Heart Disease, University Hospital, Wroclaw, Poland.; Department of Anesthesiology and Intensive Therapy, Wroclaw Medical University, Wroclaw, Poland.; Clinical Department of Pediatric Nephrology, Wroclaw Medical University, Wroclaw, Poland.; Institute of Heart Disease, University Hospital, Wroclaw, Poland.; Clinical Department of Gynecology and Obstetrics, Wroclaw Medical University, Wroclaw, Poland.; Clinical Department of Emergency Medicine, Wroclaw Medical University, Wroclaw, Poland.; Clinical Department of Internal and Occupational Diseases, Hypertension and Clinical Oncology, Wroclaw Medical University, Wroclaw, Poland.; Department of Nephrology and Transplantation Medicine, Wroclaw Medical University, Wroclaw, Poland.; Institute of Heart Disease, Wroclaw Medical University, Borowska 213, 50-556, Wroclaw, Poland.; Institute of Heart Disease, Wroclaw Medical University, Borowska 213, 50-556, Wroclaw, Poland.",10.1038/s41598-024-55407-9,
PMC10921250,38451525,P2Y12 Inhibitor Monotherapy vs Dual Antiplatelet Therapy After Deployment of a Drug-Eluting Stent: The SHARE Randomized Clinical Trial.,P2Y12 inhibitor monotherapy after dual antiplatelet therapy (DAPT; a P2Y12 inhibitor plus aspirin) for a brief duration has recently emerged as an attractive alternative for patients undergoing percutaneous coronary intervention (PCI) with a drug-eluting stent.,JAMA network open,2024,JAMA Netw Open,Min Pil-Ki; Kang Tae Soo; Cho Yun-Hyeong; Cheong Sang-Sig; Kim Byeong-Keuk; Kwon Sung Woo; Park Woo Jung; Lee Jung-Hee; Kim Wonho; Lee Wang-Soo; Yoon Young Won; Lee Byoung Kwon; Kwon Hyuck Moon; Hong Bum-Kee,"Cardiology Division, Department of Internal Medicine, Gangnam Severance Hospital, Yonsei University College of Medicine, Seoul, Republic of Korea.; Division of Cardiology, Dankook University Hospital, Cheonan, Republic of Korea.; Division of Cardiology, Myongji Hospital, Hanyang University College of Medicine, Goyang, Republic of Korea.; Department of Cardiology, Gangneung Asan Hospital, University of Ulsan College of Medicine, Gangneung, Republic of Korea.; Division of Cardiology, Severance Cardiovascular Hospital, Yonsei University College of Medicine, Seoul, Republic of Korea.; Division of Cardiology, Inha University Hospital, Incheon, Republic of Korea.; Division of Cardiology, Hallym University Sacred Heart Hospital, Anyang, Republic of Korea.; Division of Cardiology, Yeungnam University Medical Center, Daegu, Republic of Korea.; Eulji University School of Medicine, Daejeon, Republic of Korea.; Heart Research Institute, Chung-Ang University Hospital, Seoul, Republic of Korea.; Cardiology Division, Department of Internal Medicine, Gangnam Severance Hospital, Yonsei University College of Medicine, Seoul, Republic of Korea.; Cardiology Division, Department of Internal Medicine, Gangnam Severance Hospital, Yonsei University College of Medicine, Seoul, Republic of Korea.; Cardiology Division, Department of Internal Medicine, Gangnam Severance Hospital, Yonsei University College of Medicine, Seoul, Republic of Korea.; Cardiology Division, Department of Internal Medicine, Gangnam Severance Hospital, Yonsei University College of Medicine, Seoul, Republic of Korea.",10.1001/jamanetworkopen.2024.0877,
PMC10999870,38590611,"The prevalence of cardiovascular diseases, chronic kidney disease, and obesity in patients with type 2 diabetes mellitus and the description of concurrent treatments: A two-center retrospective cross-sectional study in Saudi Arabia.","Atherosclerotic cardiovascular disease (ASCVD), heart failure (HF), chronic kidney disease (CKD), and obesity are associated with increased morbidity and mortality in patients with type 2 diabetes mellitus (T2DM). Nonetheless, their prevalence among patients with T2DM in Saudi Arabia (SA) remains unknown. As current guidelines recommend, these comorbidities require adding certain antidiabetic agents with cardiorenal benefits. However, the prescribers' adherence to these recommendations remains unclear.",Saudi pharmaceutical journal : SPJ : the official publication of the Saudi Pharmaceutical Society,2024,Saudi Pharm J,Alshaya Omar A; Korayem Ghazwa B; Alghwainm Munirah; Alyami Wed; Alotaibi Albandari; Alyami Majed S; Almohammed Omar A,"Department of Pharmacy Practice, College of Pharmacy, King Saud Bin Abdulaziz University for Health Sciences, Riyadh, Saudi Arabia.; Department of Pharmacy Practice, College of Pharmacy, Princess Nourah Bint Abdulrahman University P.O.Box 84428, Riyadh 11671, Saudi Arabia.; Pharmaceutical Care Department, King Abdulaziz Medical City, Riyadh, Saudi Arabia.; Department of Pharmacy Practice, College of Pharmacy, King Saud Bin Abdulaziz University for Health Sciences, Riyadh, Saudi Arabia.; Department of Pharmacy Practice, College of Pharmacy, King Saud Bin Abdulaziz University for Health Sciences, Riyadh, Saudi Arabia.; Department of Pharmacy Practice, College of Pharmacy, King Saud Bin Abdulaziz University for Health Sciences, Riyadh, Saudi Arabia.; Department of Clinical Pharmacy, College of Pharmacy, King Saud University, Riyadh, Saudi Arabia.",10.1016/j.jsps.2024.102054,
PMC11010083,38348779,Age and Aspirin Dosing in Secondary Prevention of Atherosclerotic Cardiovascular Disease.,"In patients with atherosclerotic cardiovascular disease, increasing age is concurrently associated with higher risks of ischemic and bleeding events. The objectives are to determine the impact of aspirin dose on clinical outcomes according to age in atherosclerotic cardiovascular disease.",Journal of the American Heart Association,2024,J Am Heart Assoc,Marquis-Gravel Guillaume; Stebbins Amanda; Wruck Lisa M; Roe Matthew T; Effron Mark B; Hammill Bradley G; Whittle Jeff; VanWormer Jeffrey J; Robertson Holly R; Alikhaani Jacqueline D; Kripalani Sunil; Farrehi Peter M; Girotra Saket; Benziger Catherine P; Polonsky Tamar S; Merritt J Greg; Gupta Kamal; McCormick Thomas E; Knowlton Kirk U; Jain Sandeep K; Kochar Ajar; Rothman Russell L; Harrington Robert A; Hernandez Adrian F; Jones W Schuyler,"Duke Clinical Research Institute Durham NC.; Duke Clinical Research Institute Durham NC.; Duke Clinical Research Institute Durham NC.; Duke Clinical Research Institute Durham NC.; Ochsner Clinical School, John Ochsner Heart and Vascular Institute, University of Queensland School of Medicine New Orleans LA.; Duke Clinical Research Institute Durham NC.; Department of Medicine, Division of General Internal Medicine Medical College of Wisconsin Milwaukee WI.; Marshfield Clinic Research Institute Marshfield WI.; Medidata, A Dassault Systèmes Company New York NY.; pSCANNER, University of California in Los Angeles Center Los Angeles CA.; Vanderbilt Institute for Medicine and Public Health Vanderbilt University Medical Center Nashville TN.; Division of Cardiovascular Medicine University of Michigan Ann Arbor MI.; University of Iowa Carver College of Medicine and Comprehensive Access and Delivery Research and Evaluation, Iowa City Veterans Affairs Medical Center Iowa City IA.; Essentia Health Duluth MN.; University of Chicago IL.; Patient-Centered Network of Learning Health Systems (LHSNet) Ann Arbor MI.; University of Kansas Medical Center and Hospital KS.; Johns Hopkins Medical Center Baltimore MD.; Intermountain Medical Center Salt Lake City UT.; University of Pittsburgh School of Medicine, UPMC Heart and Vascular Institute Pittsburgh PA.; Duke Clinical Research Institute Durham NC.; Vanderbilt Institute for Medicine and Public Health Vanderbilt University Medical Center Nashville TN.; Department of Medicine Stanford University Stanford CA.; Duke Clinical Research Institute Durham NC.; Duke Clinical Research Institute Durham NC.",10.1161/JAHA.122.026921,
PMC11098647,38454651,Effects of pharmacological interventions on mortality in patients with Takotsubo syndrome: a report from the SWEDEHEART registry.,"Takotsubo syndrome (TS) is a heart condition mimicking acute myocardial infarction. TS is characterized by a sudden weakening of the heart muscle, usually triggered by physical or emotional stress. In this study, we aimed to investigate the effect of pharmacological interventions on short- and long-term mortality in patients with TS.",ESC heart failure,2024,ESC Heart Fail,Petursson Petur; Oštarijaš Eduard; Redfors Björn; Råmunddal Truls; Angerås Oskar; Völz Sebastian; Rawshani Araz; Hambraeus Kristina; Koul Sasha; Alfredsson Joakim; Hagström Henrik; Loghman Henareh; Hofmann Robin; Fröbert Ole; Jernberg Tomas; James Stefan; Erlinge David; Omerovic Elmir,"Department of Cardiology, Sahlgrenska University Hospital, Gothenburg, Sweden.; University of Pécs Medical School, Pécs, Hungary.; Department of Cardiology, Sahlgrenska University Hospital, Gothenburg, Sweden.; Department of Cardiology, Sahlgrenska University Hospital, Gothenburg, Sweden.; Department of Cardiology, Sahlgrenska University Hospital, Gothenburg, Sweden.; Department of Cardiology, Sahlgrenska University Hospital, Gothenburg, Sweden.; Department of Cardiology, Sahlgrenska University Hospital, Gothenburg, Sweden.; Department of Cardiology, Falun Hospital, Falun, Sweden.; Department of Cardiology, Skåne University Hospital, Lund, Sweden.; Department of Cardiology, Linköping University Hospital, Linköping, Sweden.; Department of Cardiology, Umeå University Hospital, Umeå, Sweden.; Department of Cardiology, Karolinska University Hospital, Stockholm, Sweden.; Department of Cardiology, Södra Hospital, Stockholm, Sweden.; Department of Cardiology, Örebro University Hospital, Örebro, Sweden.; Department of Cardiology, Danderyd University Hospital, Stockholm, Sweden.; Department of Cardiology, Uppsala University Hospital, Uppsala, Sweden.; Department of Cardiology, Skåne University Hospital, Lund, Sweden.; Department of Cardiology, Sahlgrenska University Hospital, Gothenburg, Sweden.",10.1002/ehf2.14713,
PMC11132442,38739644,"User-defined outcomes of the Danish cardiovascular screening (DANCAVAS) trial: A post hoc analyses of a population-based, randomised controlled trial.","The Danish cardiovascular screening (DANCAVAS) trial, a nationwide trial designed to investigate the impact of cardiovascular screening in men, did not decrease all-cause mortality, an outcome decided by the investigators. However, the target group may have varied preferences. In this study, we aimed to evaluate whether men aged 65 to 74 years requested a CT-based cardiovascular screening examination and to assess its impact on outcomes determined by their preferences.",PLoS medicine,2024,PLoS Med,Diederichsen Axel Cosmus Pyndt; Mejldal Anna; Søgaard Rikke; Hallas Jesper; Lambrechtsen Jess; Steffensen Flemming Hald; Frost Lars; Egstrup Kenneth; Busk Martin; Urbonaviciene Grazina; Karon Marek; Rasmussen Lars Melholt; Lindholt Jes Sanddal,"Department of Cardiology, Odense University Hospital, Odense, Denmark.; Open Patient Data Explorative Network, Department of Clinical Research, Odense University Hospital, Odense, Denmark.; Elite Research Centre for Individualised Medicine, Odense University Hospital, Odense, Denmark.; Department of Clinical Pharmacology, University of Southern Denmark, Odense, Denmark.; Department of Cardiology, Svendborg Hospital, Svendborg, Denmark.; Department of Cardiology, Lillebaelt Hospital, Vejle, Denmark.; Department of Cardiology, Regional Hospital Central Jutland, Silkeborg, Denmark.; Department of Cardiology, Svendborg Hospital, Svendborg, Denmark.; Department of Cardiology, Lillebaelt Hospital, Vejle, Denmark.; Department of Cardiology, Regional Hospital Central Jutland, Silkeborg, Denmark.; Department of Medicine, Nykøbing Falster Hospital, Nykøbing Falster, Denmark.; Department of Clinical Biochemistry and Pharmacology, Odense University Hospital, Odense, Denmark.; Department of Cardiothoracic and Vascular Surgery, Odense University Hospital, Odense, Denmark.",10.1371/journal.pmed.1004403,
PMC11196263,38914608,Low platelet count at admission has an adverse impact on outcome in patients with acute coronary syndromes: from the START Antiplatelet registry.,"Some previous observations suggest that a low platelet count is associated with an increased risk of adverse outcomes in patients with acute coronary syndromes (ACS). However, most of the data come from post-hoc analyses of randomized controlled trials and from studies including thrombocytopenia developed during hospital stay. Our aim was to assess the impact of low platelet count at admission on cardiovascular outcomes and treatment approach in patients hospitalized for ACS in a current real-life setting in Italy. Patients admitted to Italian coronary care units for ACS were enrolled in the START-ANTIPLATELET registry. Baseline clinical characteristics and treatment at discharge were recorded. Patients were followed-up at 6 months, 1 year and yearly thereafter. Low platelet count was defined as a count at admission < 150 > 100 k/µl or < 100 k/µL. Among 1894 enrolled patients, 157 (8.3%) had a platelet count < 150 > 100 k/µl and 30 (1.6%) < 100 k/µl. The median follow-up was 12.3 months (0.4-50.1). patients with low platelets were older (72 ± 10.4 vs 66 ± 12.4 years, p = 0.006), more frequently males (82.9 vs 72.1%, p = 0.001), hypertensive (90.0% vs 70.4%, p = 0.03), with non-valvular atrial fibrillation (NVAF) (17.1 vs 8.6%, p = 0.02), and peripheral arterial disease (11.5 vs 6.2% p = 0.01) and/or had a previous myocardial infarction (40 vs 18.7%, p = 0.008) and/or a PCI (14.6 vs 7.8%, p = 0.001) than patients with normal platelets. A slightly, but significantly, lower percentage of thrombocytopenic patients were treated with primary PCI (78.1 vs 84.4%, p = 0.04) and they were more frequently discharged on aspirin plus clopidogrel rather than aspirin plus newer P2Y<sub>12</sub> antagonists (51.9 vs 65.4%, p = 0.01). MACE-free survival was significantly shorter in thrombocytopenic patients compared to patients with normal platelets (< 150 > 100 k/µl: 37.6 vs 41.8 months, p = 0.002; HR = 2.7, 95% CIs 1.4-5.2; < 100 k/µl: 31.7 vs 41.8 months, p = 0.01; HR = 6.5, 95% CIs 1.5-29.1). At multivariate analysis, low platelet count, age at enrollment, low glomerular filtration rate, low ejection fraction, a previous ischemic stroke and NVAF were independent predictors of MACE. A low platelet count at admission identifies a subgroup of ACS patients with a significantly increased risk of MACE and these patients should be managed with special care to prevent excess adverse outcomes.",Scientific reports,2024,Sci Rep,Gresele Paolo; Guglielmini Giuseppe; Del Pinto Maurizio; Calabrò Paolo; Pignatelli Pasquale; Patti Giuseppe; Pengo Vittorio; Antonucci Emilia; Cirillo Plinio; Fierro Tiziana; Palareti Gualtiero; Marcucci Rossella,"Department of Medicine and Surgery, Section of Internal and Cardiovascular Medicine, University of Perugia, Strada Vicinale Via Delle Corse, S. Andrea Delle Fratte, 06132, Perugia, Italy. paolo.gresele@unipg.it.; Department of Medicine and Surgery, Section of Internal and Cardiovascular Medicine, University of Perugia, Strada Vicinale Via Delle Corse, S. Andrea Delle Fratte, 06132, Perugia, Italy.; Division of Cardiology, Perugia Hospital, Perugia, Italy.; Department of Translational Medical Sciences, University of Campania ""Luigi Vanvitelli"", Naples, Italy.; Department of Clinical, Internistic, Anesthesiologic and Cardiovascular Sciences, Sapienza University of Rome, Rome, Italy.; Department of Translational Medicine, University of Eastern Piedmont, Maggiore della Carità Hospital, Novara, Italy.; Department of Cardiac, Thoracic, Vascular Sciences and Public Health, University of Padova, Padua, Italy.; Arianna Anticoagulazione Foundation, Bologna, Italy.; Division of Cardiology, Department of Advanced Biomedical Sciences, ""Federico II"" University, Naples, Italy.; Department of Medicine and Surgery, Section of Internal and Cardiovascular Medicine, University of Perugia, Strada Vicinale Via Delle Corse, S. Andrea Delle Fratte, 06132, Perugia, Italy.; Arianna Anticoagulazione Foundation, Bologna, Italy.; Department of Experimental and Clinical Medicine, University of Florence, Florence, Italy.",10.1038/s41598-024-64113-5,
PMC11268649,39046945,Prevalence of cardiovascular drug-related adverse drug reactions consultations in UK primary care: A cross-sectional study.,"Adverse drug reactions (ADRs) represent a significant barrier to achieve optimal treatment outcomes. Cardiovascular drugs, including antihypertensive drugs, lipid-lowering drugs, and antithrombotic drugs, are among the most prescribed medications in the primary care setting.",PloS one,2024,PLoS One,Insani Widya N; Whittlesea Cate; Wei Li,"Department of Pharmacology and Clinical Pharmacy, Padjadjaran University, Bandung, Indonesia.; Research Department of Practice and Policy, School of Pharmacy, University College London, London, United Kingdom.; Research Department of Practice and Policy, School of Pharmacy, University College London, London, United Kingdom.",10.1371/journal.pone.0307237,
