PMID,Title,Abstract,Journal,PubDate,Source,Authors,School/Company,DOI,PMCID,Impact Factor
40619357,Indobufen versus aspirin after percutaneous coronary intervention in elderly patients with acute coronary syndrome.,"Antiplatelet therapy is pivotal in managing elderly patients with Acute Coronary Syndrome (ACS) following Percutaneous Coronary Intervention (PCI). While aspirin remains a cornerstone of this therapy, its use is sometimes limited by the risk of gastrointestinal (GI) complications or allergic reactions in certain patients.",BMC cardiovascular disorders,2025,BMC Cardiovasc Disord,Dai Wenbo; Mu Guanyu; Ren Jiayi; Hu Sutao; Guo Rongxin; Gu Tian-Shu; Che Jingjin; Ma Xianghong; Liu Tong; Wu Xue; Zhang Jing-Kun; Tse Gary; Wang Yajie; Zhou Jian-Mei; Rha Seung-Woon; Chen Kangyin,"Tianjin Key Laboratory of Ionic-Molecular Function of Cardiovascular disease, Department of Cardiology, Tianjin Institute of Cardiology, Second Hospital of Tianjin Medical University, No. 23 Pingjiang Road, Hexi District, Tianjin, 300211, People's Republic of China.; Tianjin Key Laboratory of Ionic-Molecular Function of Cardiovascular disease, Department of Cardiology, Tianjin Institute of Cardiology, Second Hospital of Tianjin Medical University, No. 23 Pingjiang Road, Hexi District, Tianjin, 300211, People's Republic of China.; Tianjin Key Laboratory of Ionic-Molecular Function of Cardiovascular disease, Department of Cardiology, Tianjin Institute of Cardiology, Second Hospital of Tianjin Medical University, No. 23 Pingjiang Road, Hexi District, Tianjin, 300211, People's Republic of China.; Tianjin Key Laboratory of Ionic-Molecular Function of Cardiovascular disease, Department of Cardiology, Tianjin Institute of Cardiology, Second Hospital of Tianjin Medical University, No. 23 Pingjiang Road, Hexi District, Tianjin, 300211, People's Republic of China.; Tianjin Key Laboratory of Ionic-Molecular Function of Cardiovascular disease, Department of Cardiology, Tianjin Institute of Cardiology, Second Hospital of Tianjin Medical University, No. 23 Pingjiang Road, Hexi District, Tianjin, 300211, People's Republic of China.; Tianjin Key Laboratory of Ionic-Molecular Function of Cardiovascular disease, Department of Cardiology, Tianjin Institute of Cardiology, Second Hospital of Tianjin Medical University, No. 23 Pingjiang Road, Hexi District, Tianjin, 300211, People's Republic of China.; Tianjin Key Laboratory of Ionic-Molecular Function of Cardiovascular disease, Department of Cardiology, Tianjin Institute of Cardiology, Second Hospital of Tianjin Medical University, No. 23 Pingjiang Road, Hexi District, Tianjin, 300211, People's Republic of China.; Tianjin Key Laboratory of Ionic-Molecular Function of Cardiovascular disease, Department of Cardiology, Tianjin Institute of Cardiology, Second Hospital of Tianjin Medical University, No. 23 Pingjiang Road, Hexi District, Tianjin, 300211, People's Republic of China.; Tianjin Key Laboratory of Ionic-Molecular Function of Cardiovascular disease, Department of Cardiology, Tianjin Institute of Cardiology, Second Hospital of Tianjin Medical University, No. 23 Pingjiang Road, Hexi District, Tianjin, 300211, People's Republic of China.; Institute for Global Health Sciences, University of California, San Francisco, CA, USA.; Cardiovascular Research Institute, University of California, San Francisco, CA, USA.; Tianjin Key Laboratory of Ionic-Molecular Function of Cardiovascular disease, Department of Cardiology, Tianjin Institute of Cardiology, Second Hospital of Tianjin Medical University, No. 23 Pingjiang Road, Hexi District, Tianjin, 300211, People's Republic of China.; Department of Cardiology, TEDA International Cardiovascular Hospital, Tianjin, China.; Department of Cadre health care, Zhejiang Hospital, Hangzhou, 310013, Zhejiang, P.R. China. zhou1306928@163.com.; Cardiovascular Center, Korea University Guro Hospital, Seoul, Korea. swrha617@yahoo.co.kr.; Tianjin Key Laboratory of Ionic-Molecular Function of Cardiovascular disease, Department of Cardiology, Tianjin Institute of Cardiology, Second Hospital of Tianjin Medical University, No. 23 Pingjiang Road, Hexi District, Tianjin, 300211, People's Republic of China. chenkangyin@vip.126.com.",10.1186/s12872-025-04843-0,PMC12232649,N/A
40447038,Sex Differences in Perioperative Complications of Lower Extremity Revascularization for Peripheral Artery Disease.,Sex-based differences in outcomes of lower extremity revascularization (LER) for patients with peripheral arterial disease (PAD) remain a focus of interest to improve outcomes. Recent studies observed increased bleeding in females undergoing endovascular LER. This contemporary study examines differences in perioperative complications of open and endovascular LER between the sexes.,Annals of vascular surgery,2025,Ann Vasc Surg,Terrazos-Moreno Roselyn; Vu Annie; Alameddine Dana; Zhuo Haoran; Mena-Hurtado Carlos; Mojibian Hamid; Guzman Raul J; Ochoa Chaar Cassius Iyad,"Yale School of Medicine, New Haven, CT. Electronic address: roselyn.terrazos-moreno@yale.edu.; Western University of Health Sciences, Pomona, CA.; Division of Vascular Surgery and Endovascular Therapy, Department of Surgery, Yale School of Medicine, New Haven, CT.; Department of Environmental Health Sciences, Yale School of Public Health, New Haven, CT.; Section of Cardiology, Department of Internal Medicine, Yale School of Medicine, New Haven, CT.; Section of Cardiology, Department of Advanced Cardiac Imaging, Department of Internal Medicine, Yale School of Medicine, New Haven, CT.; Division of Vascular Surgery and Endovascular Therapy, Department of Surgery, Yale School of Medicine, New Haven, CT.; Division of Vascular Surgery and Endovascular Therapy, Department of Surgery, Yale School of Medicine, New Haven, CT.",10.1016/j.avsg.2025.05.041,,N/A
40392195,One-month dual antiplatelet therapy followed by prasugrel monotherapy at a reduced dose: the 4D-ACS randomised trial.,The efficacy and safety of a 1-month prasugrel-based dual antiplatelet therapy (DAPT) strategy followed by reduced-dose prasugrel monotherapy in acute coronary syndrome (ACS) patients treated with drug-coated stents (DCS) have not been studied.,EuroIntervention : journal of EuroPCR in collaboration with the Working Group on Interventional Cardiology of the European Society of Cardiology,2025,EuroIntervention,Jang Youngwoo; Park Sang-Don; Lee Joon Pyo; Choi Seong Huan; Kong Min Gyu; Won Yoon Sun; Kim Minsu; Lee Kyoung Hoon; Han Seung Hwan; Kwon Sung Woo; Suh Jon; Kang Woong Chol,"Division of Cardiology, Department of Internal Medicine, Gachon University Gil Medical Center, Gachon University College of Medicine, Incheon, South Korea.; Division of Cardiology, Department of Internal Medicine, Inha University College of Medicine and Inha University Hospital, Incheon, South Korea.; Division of Cardiology, Department of Internal Medicine, Gachon University Gil Medical Center, Gachon University College of Medicine, Incheon, South Korea.; Division of Cardiology, Department of Internal Medicine, Inha University College of Medicine and Inha University Hospital, Incheon, South Korea.; Division of Cardiology, Department of Internal Medicine, Soonchunhyang University Bucheon Hospital, Soonchunhyang University College of Medicine, Bucheon, South Korea.; Division of Cardiology, Department of Internal Medicine, Gachon University Gil Medical Center, Gachon University College of Medicine, Incheon, South Korea.; Division of Cardiology, Department of Internal Medicine, Gachon University Gil Medical Center, Gachon University College of Medicine, Incheon, South Korea.; Division of Cardiology, Department of Internal Medicine, Gachon University Gil Medical Center, Gachon University College of Medicine, Incheon, South Korea.; Division of Cardiology, Department of Internal Medicine, Gachon University Gil Medical Center, Gachon University College of Medicine, Incheon, South Korea.; Division of Cardiology, Department of Internal Medicine, Inha University College of Medicine and Inha University Hospital, Incheon, South Korea.; Division of Cardiology, Department of Internal Medicine, Soonchunhyang University Bucheon Hospital, Soonchunhyang University College of Medicine, Bucheon, South Korea.; Division of Cardiology, Department of Internal Medicine, Gachon University Gil Medical Center, Gachon University College of Medicine, Incheon, South Korea.",10.4244/EIJ-D-25-00331,,N/A
40225450,Role of Dual Pathway Inhibition in Secondary Prevention of Coronary Artery Disease.,"Introduction Coronary artery disease (CAD) continues to be a significant global health challenge, contributing to high rates of morbidity and mortality despite advancements in medical care. Dual-pathway inhibition (DPI) represents a major advancement in the secondary prevention of CAD by targeting both platelet aggregation and thrombin generation. Unlike traditional single-pathway antiplatelet therapy (e.g., aspirin or P2Y12 inhibitors), DPI provides a synergistic approach to reduce the residual cardiovascular risk that persists despite optimal medical therapy. Objective To evaluate the efficacy and safety of DPI compared to standard single-pathway antiplatelet therapy in reducing cardiovascular events in patients with CAD. Methodology This prospective observational cohort study was conducted at Shalamar Hospital, Lahore, Pakistan, from September 2023 to August 2024. Data were collected from 147 patients diagnosed with stable CAD or who had experienced a recent acute coronary syndrome. Patients were randomly assigned into two groups: the DPI group and the control group. The DPI group (n=74) received a combination of low-dose rivaroxaban (2.5 mg twice daily) and aspirin (81 mg daily), while the control group (n=73) received standard single-pathway antiplatelet therapy with aspirin (81 mg daily). Results The mean age was similar in both groups, with 56.67 ± 8.01 years in the DPI group and 58.92 ± 9.23 years in the control group (p=0.48). The proportion of male patients was comparable, with 50(68%) in the DPI group and 48(66%) in the control group (p=0.78). Prevalence rates of hypertension [53(72%) vs. 54(74%), p=0.74], diabetes mellitus [31(42%) vs. 29(39%), p=0.69], and previous myocardial infarction (MI) [35(48%) vs. 37(51%), p=0.66] were nearly identical across groups. Similarly, smoking history showed no significant difference, with 26(35%) in the DPI group and 24(33%) in the control group (p=0.81). Cardiovascular deaths were less frequent in the DPI group [2(2.7%)] compared to the control group [5(6.8%)], although this difference did not reach statistical significance (p=0.18). Similarly, the incidence of non-fatal MI [3(4.1%) vs. 7(9.6%), p=0.12] and non-fatal stroke [2(2.7%) vs. 3(4.1%), p=0.63] was lower in the DPI group but not statistically significant. Conclusion It is concluded that DPI is an effective strategy for reducing residual cardiovascular risk in patients with CAD. By combining platelet aggregation and thrombin generation inhibition, DPI significantly lowers the incidence of major adverse cardiovascular events compared to single-pathway antiplatelet therapy.",Cureus,2025,Cureus,Ahmad Fraz; Husnain Ali; Hayat Muhammad Fakhar; Ashraf Muhammad Abdullah; Arif Muhammad Ammar; Butt Muhammad Zarrar A; Qureshi Amna Junaid; Hamza Muhammad,"Cardiology, Shalamar Hospital, Lahore, PAK.; Cardiology, Shalamar Hospital, Lahore, PAK.; Cardiology, Shalamar Hospital, Lahore, PAK.; Cardiology, Shalamar Hospital, Lahore, PAK.; Cardiology, Fatima Memorial Hospital, Lahore, PAK.; Cardiology, Fatima Memorial Hospital College of Medicine and Dentistry, Lahore, PAK.; Internal Medicine, Shalamar Hospital, Lahore, PAK.; Internal Medicine, Combined Military Hospital, Muzaffarabad, PAK.",10.7759/cureus.80504,PMC11993472,N/A
40164448,"Stepwise dual antiplatelet therapy de-escalation in patients after drug coated balloon angioplasty (REC-CAGEFREE II): multicentre, randomised, open label, assessor blind, non-inferiority trial.",To investigate whether a less intense antiplatelet regimen could be used for people receiving drug coated balloons.,BMJ (Clinical research ed.),2025,BMJ,Gao Chao; Zhu Bin; Ouyang Fan; Wen Shangyu; Xu Yanmin; Jia Wenxia; Yang Ping; He Yuquan; Zhong Yiming; Zhou Yimeng; Guo Zhifu; Shen Guidong; Ma Likun; Xu Liang; Xue Yuzeng; Hu Tao; Wang Qiong; Liu Yi; Zhang Ruining; Liu Jianzheng; Jiang Zhiwei; Xia Jielai; Garg Scot; van Geuns Robert-Jan; Capodanno Davide; Onuma Yoshinobu; Wang Duolao; Serruys Patrick; Tao Ling,"Department of Cardiology, Xijing Hospital, Xi'an, China.; Department of Cardiology, Xijing Hospital, Xi'an, China.; Department of Cardiology, Zhuzhou Central Hospital, Zhuzhou, China.; Department of Cardiology, Tianjin Fourth Central Hospital, Tianjin, China.; Department of Cardiology, Second Hospital of Tianjin Medical University, Tianjin, China.; Department of Cardiology, People's Hospital of Qingyang, Qingyang, China.; Department of Cardiology, China-Japan Union Hospital of Jilin University, Changchun, China.; Department of Cardiology, China-Japan Union Hospital of Jilin University, Changchun, China.; Department of Cardiology, First Affiliated Hospital of Gannan Medical University, Ganzhou, China.; Department of Cardiology, Yangpu Hospital of Tongji University, Shanghai, China.; Department of Cardiology, First Affiliated Hospital of Naval Medical University, Shanghai, China.; Department of Cardiology, Ankang Central Hospital, Ankang, China.; Department of Cardiology, First Affiliated Hospital of USTC, Hefei, China.; Department of Cardiology, Seventh People's Hospital of Zhengzhou, Zhengzhou, China.; Department of Cardiology, Liaocheng People's Hospital, Liaocheng, China.; Department of Cardiology, Xijing Hospital, Xi'an, China.; Department of Cardiology, Xijing Hospital, Xi'an, China.; Department of Cardiology, Xijing Hospital, Xi'an, China.; Department of Cardiology, Xijing Hospital, Xi'an, China.; Department of Cardiology, Xijing Hospital, Xi'an, China.; Beijing KeyTech Statistical Consulting Co, Beijing, China.; Department of Statistics, Air Force Medical University, Xi'an, China.; Department of Cardiology, Royal Blackburn Hospital, Blackburn, UK.; Department of Cardiology, Radboud UMC, Nijmegen, the Netherlands.; Department of Cardiology, Azienda Ospedaliero-Universitaria Policlinico 'G Rodolico-San Marco', University of Catania, Catania, Italy.; Department of Cardiology, University of Galway, Galway, Ireland.; Biostatistics Unit, Liverpool School of Tropical Medicine, Liverpool, UK.; Department of Cardiology, University of Galway, Galway, Ireland.; Department of Cardiology, Xijing Hospital, Xi'an, China lingtaofmmu@qq.com.",10.1136/bmj-2024-082945,PMC11955879,N/A
40163217,Benefit-Risk Assessment of Rivaroxaban in Older Patients With Nonvalvular Atrial Fibrillation or Venous Thromboembolism.,"Both bleeding and adverse ischemic events increase with age, compounding the benefit-risk balance of anticoagulants in older patients. We present analyses using benefit-risk methods to better understand the age-dependence of the benefit-risk profile of rivaroxaban in patients with nonvalvular atrial fibrillation (NVAF) or venous thromboembolism (VTE).",Drugs & aging,2025,Drugs Aging,Dobesh Paul P; Volkl Albert A; Pap Ákos Ferenc; Damaraju C V; Levitan Bennett; Yuan Zhong; Amin Alpesh N,"University of Nebraska Medical Center College of Pharmacy, 986120 Nebraska Medical Center, Omaha, NE, 68198-6120, USA. pdobesh@unmc.edu.; Johnson & Johnson, Titusville, NJ, USA.; Bayer AG, Wuppertal, Germany.; Johnson & Johnson, Titusville, NJ, USA.; Johnson & Johnson, Titusville, NJ, USA.; Johnson & Johnson, Horsham, PA, USA.; Irvine Department of Medicine, Division of Hospital Medicine and Palliative Medicine, School of Medicine, University of California, Irvine, CA, USA.",10.1007/s40266-025-01192-7,PMC12053352,N/A
40049585,The Australian-New Zealand spontaneous coronary artery dissection cohort study: predictors of major adverse cardiovascular events and recurrence.,Spontaneous coronary artery dissection (SCAD) is an increasingly recognized cause of acute coronary syndrome (ACS). Recent data suggest a harmful association of dual antiplatelet therapy compared with single antiplatelet therapy following SCAD. This study investigated independent predictors of major adverse cardiovascular events (MACEs) and recurrence in patients with SCAD.,European heart journal,2025,Eur Heart J,Dang Quan M; Psaltis Peter J; Burgess Sonya; Chandrasekhar Jaya; Mukherjee Swati; Kritharides Leonard; Jepson Nigel; Fairley Sarah; Ihdayhid Abdul; Layland Jamie; Szirt Richard; El-Jack Seif; Puri Aniket; Davis Esther; Shiekh Imran; Arnold Ruth; Watts Monique; Marathe Jessica A; Bhagwandeen Rohan; Wing-Lun Edwina; Bhindi Ravinay; Ford Tom; Lo Sidney; Marschner Simone; Zaman Sarah,"Westmead Applied Research Centre, University of Sydney, Sydney, Australia.; Adelaide Medical School, The University of Adelaide, Adelaide, Australia.; University of Sydney, Sydney, Australia.; Department of Cardiology, Box Hill Hospital, Melbourne, Australia.; Department of Cardiology, Cabrini Hospital, Melbourne, Australia.; ANZAC Medical Research Institute, Sydney, Australia.; Department of Cardiology, Prince of Wales Hospital, Sydney, Australia.; Department of Cardiology, Wellington Hospital, Wellington, New Zealand.; Department of Cardiology, Fiona Stanley Hospital, Perth, Australia.; Department of Cardiology, Frankston Hospital, Melbourne, Australia.; Department of Cardiology, St George Hospital, Sydney, Australia.; Cardiovascular Unit, North Shore Hospital, Waitemata, New Zealand.; Department of Cardiology, Christchurch Hospital, Christchurch, New Zealand.; Victorian Heart Institute, Monash University, Melbourne, Australia.; Department of Cardiology, Royal Perth Hospital, Perth, Australia.; Orange Base Hospital, Orange, Australia.; Department of Cardiology, Alfred Hospital, Melbourne, Australia.; ANZAC Medical Research Institute, Sydney, Australia.; Cardiology Department, John Hunter Hospital, Newcastle, Australia.; University of Sydney, Sydney, Australia.; Department of Cardiology, Royal North Shore Hospital, Sydney, Australia.; The University of Newcastle Central Coast Clinical School, Gosford, Australia.; Department of Cardiology, Liverpool Hospital, Sydney, Australia.; Westmead Applied Research Centre, University of Sydney, Sydney, Australia.; Westmead Applied Research Centre, University of Sydney, Sydney, Australia.",10.1093/eurheartj/ehaf097,PMC12127729,N/A
40014346,BMI and Deescalation From Ticagrelor to Clopidogrel in Patients With Acute Myocardial Infarction: A Post Hoc Analysis of the TALOS-AMI Trial.,The potential benefits of P2Y12 inhibitor deescalation for acute myocardial infarction after percutaneous coronary intervention may be influenced by body mass index (BMI).,JAMA network open,2025,JAMA Netw Open,Bu Seonghyeon; Kim Chan Joon; Lim Sungmin; Jang Jaehyuk; Park Mahn-Won; Choi Ik Jun; Moon Donggyu; Hwang Byung-Hee; Choo Eun Ho; Lee Kwan Yong; Choi Yun Seok; Kim Hee-Yeol; Yoo Ki-Dong; Jeon Doo Soo; Chang Kiyuk,"Division of Cardiology, Department of Internal Medicine, Uijeongbu St Mary's Hospital, College of Medicine, The Catholic University of Korea, Seoul, Republic of Korea.; Division of Cardiology, Department of Internal Medicine, Uijeongbu St Mary's Hospital, College of Medicine, The Catholic University of Korea, Seoul, Republic of Korea.; Division of Cardiology, Department of Internal Medicine, Uijeongbu St Mary's Hospital, College of Medicine, The Catholic University of Korea, Seoul, Republic of Korea.; Division of Cardiology, Department of Internal Medicine, Uijeongbu St Mary's Hospital, College of Medicine, The Catholic University of Korea, Seoul, Republic of Korea.; Division of Cardiology, Department of Internal Medicine, Daejeon St Mary's Hospital, College of Medicine, The Catholic University of Korea, Seoul, Republic of Korea.; Division of Cardiology, Department of Internal Medicine, Incheon St Mary's Hospital, College of Medicine, The Catholic University of Korea, Seoul, Republic of Korea.; Division of Cardiology, Department of Internal Medicine, St Vincent's Hospital, College of Medicine, The Catholic University of Korea, Seoul, Republic of Korea.; Division of Cardiology, Department of Internal Medicine, Seoul St Mary's Hospital, College of Medicine, The Catholic University of Korea, Seoul, Republic of Korea.; Division of Cardiology, Department of Internal Medicine, Seoul St Mary's Hospital, College of Medicine, The Catholic University of Korea, Seoul, Republic of Korea.; Division of Cardiology, Department of Internal Medicine, Seoul St Mary's Hospital, College of Medicine, The Catholic University of Korea, Seoul, Republic of Korea.; Division of Cardiology, Department of Internal Medicine, Seoul St Mary's Hospital, College of Medicine, The Catholic University of Korea, Seoul, Republic of Korea.; Division of Cardiology, Department of Internal Medicine, Bucheon St Mary's Hospital, College of Medicine, The Catholic University of Korea, Seoul, Republic of Korea.; Division of Cardiology, Department of Internal Medicine, St Vincent's Hospital, College of Medicine, The Catholic University of Korea, Seoul, Republic of Korea.; Division of Cardiology, Department of Internal Medicine, Incheon St Mary's Hospital, College of Medicine, The Catholic University of Korea, Seoul, Republic of Korea.; Catholic Research Institute for Intractable Cardiovascular Disease, College of Medicine, The Catholic University of Korea, Seoul, Republic of Korea.",10.1001/jamanetworkopen.2024.61916,PMC11868972,N/A
39971263,Aspirin and Clinical Outcomes in Individuals with Incidentally Diagnosed Coronary Artery Stenosis.,"The widespread use of coronary computed tomographic angiography has increased the number of cases of coronary stenosis in asymptomatic individuals. In this population, we aimed to analyze the net benefit of aspirin, which is currently recommended for secondary cardiovascular prevention.",The American journal of medicine,2025,Am J Med,Jin In Tae; Lee Yangyoun; Choi Eui-Young; Lee Sang-Hak,"Department of Internal Medicine, Division of Cardiology, Yonsei University College of Medicine, Seoul, Korea.; Department of Cardiology, Ajou University School of Medicine, Suwon, Korea.; Division of Cardiology, Gangnam Severance Hospital, Yonsei University College of Medicine, Seoul, Korea.; Department of Internal Medicine, Division of Cardiology, Yonsei University College of Medicine, Seoul, Korea. Electronic address: shl1106@yuhs.ac.",10.1016/j.amjmed.2025.02.004,,N/A
39826637,Clinical significance of a new diagnosis of atrial fibrillation in patients with vascular disease.,The Cardiovascular Outcomes for People Using Anticoagulation Strategies (COMPASS) trial enrolled patients with vascular disease but excluded patients requiring oral anticoagulation.,Heart rhythm,2025,Heart Rhythm,Benz Alexander P; Alings Marco; Bosch Jacqueline; Avezum Alvaro; Bhatt Deepak L; Healey Jeff S; Johnson Linda S; McIntyre William F; Widimsky Petr; Yi Qilong; Yusuf Salim; Connolly Stuart J; Eikelboom John W,"Population Health Research Institute, McMaster University, Hamilton, Ontario, Canada; Department of Cardiology, University Medical Center Mainz, Johannes Gutenberg-University, Mainz, Germany. Electronic address: alexander.benz@phri.ca.; Amphia Ziekenhuis, Breda, The Netherlands.; Population Health Research Institute, McMaster University, Hamilton, Ontario, Canada; School of Rehabilitation Science, McMaster University, Hamilton, Ontario, Canada.; International Research Center, Hospital Alemão Oswaldo Cruz & UNISA, São Paulo, Brazil.; Mount Sinai Fuster Heart Hospital, Icahn School of Medicine at Mount Sinai, New York, New York.; Population Health Research Institute, McMaster University, Hamilton, Ontario, Canada.; Population Health Research Institute, McMaster University, Hamilton, Ontario, Canada; Department of Clinical Sciences, Lund University, Malmö, Sweden.; Population Health Research Institute, McMaster University, Hamilton, Ontario, Canada.; Department of Cardiology, Third Faculty of Medicine, University Hospital Kralovske Vinohrady, Charles University, Prague, Czech Republic.; School of Epidemiology and Public Health, University of Ottawa, Ottawa, Ontario, Canada.; Population Health Research Institute, McMaster University, Hamilton, Ontario, Canada.; Population Health Research Institute, McMaster University, Hamilton, Ontario, Canada.; Population Health Research Institute, McMaster University, Hamilton, Ontario, Canada.",10.1016/j.hrthm.2025.01.010,,N/A
